Year,College Code,Branch Code,Caste,Mark
2018,1,XM,OC,187.25
2018,1,XM,BC,180.25
2018,1,XM,BCM,178.75
2018,1,XM,MBC,174.5
2018,1,XM,SC,154.0
2018,1,XM,SCA,132.0
2018,1,XM,ST,
2018,2,AP,OC,188.5
2018,2,AP,BC,184.75
2018,2,AP,BCM,184.5
2018,2,AP,MBC,179.0
2018,2,AP,SC,162.0
2018,2,AP,SCA,118.5
2018,2,AP,ST,
2018,2,CH,OC,196.5
2018,2,CH,BC,196.0
2018,2,CH,BCM,195.5
2018,2,CH,MBC,193.25
2018,2,CH,SC,190.25
2018,2,CH,SCA,188.25
2018,2,CH,ST,171.5
2018,2,CL,OC,194.75
2018,2,CL,BC,193.75
2018,2,CL,BCM,193.0
2018,2,CL,MBC,191.0
2018,2,CL,SC,183.0
2018,2,CL,SCA,178.75
2018,2,CL,ST,125.0
2018,2,CR,OC,188.0
2018,2,CR,BC,185.75
2018,2,CR,BCM,178.5
2018,2,CR,MBC,180.25
2018,2,CR,SC,164.25
2018,2,CR,SCA,119.25
2018,2,CR,ST,
2018,2,FS,OC,192.75
2018,2,FS,BC,191.75
2018,2,FS,BCM,190.5
2018,2,FS,MBC,190.0
2018,2,FS,SC,176.0
2018,2,FS,SCA,176.25
2018,2,FS,ST,
2018,2,IB,OC,197.0
2018,2,IB,BC,195.0
2018,2,IB,BCM,189.25
2018,2,IB,MBC,192.25
2018,2,IB,SC,187.75
2018,2,IB,SCA,174.0
2018,2,IB,ST,
2018,2,IS,OC,194.0
2018,2,IS,BC,192.25
2018,2,IS,BCM,189.0
2018,2,IS,MBC,189.25
2018,2,IS,SC,177.25
2018,2,IS,SCA,148.75
2018,2,IS,ST,
2018,2,LE,OC,187.25
2018,2,LE,BC,185.0
2018,2,LE,BCM,182.0
2018,2,LE,MBC,180.75
2018,2,LE,SC,168.75
2018,2,LE,SCA,174.75
2018,2,LE,ST,135.0
2018,2,PM,OC,191.5
2018,2,PM,BC,189.75
2018,2,PM,BCM,189.25
2018,2,PM,MBC,186.25
2018,2,PM,SC,171.5
2018,2,PM,SCA,128.75
2018,2,PM,ST,
